application_id,client_id,apply_date,amount_requested,product_type,decision_score,decision
1,1,2024-02-01,100000.0,micro,1.0,approved
2,1,2024-09-11,370939.3519141044,nano,1.0,approved
3,2,2024-05-26,577250.7795464138,micro,1.0,approved
4,2,2024-10-27,220652.7937761527,micro,1.0,approved
5,3,2024-05-12,645095.4559250445,micro,1.0,approved
8,3,2024-05-15,343695.3205933928,micro,0.8443776101774345,approved
6,3,2024-06-19,1089146.3400516403,nano,0.9070875400734281,approved
7,3,2024-11-26,707729.2954778988,nano,1.0,approved
9,3,2024-12-09,689523.0069103236,micro,0.8682233364378164,approved
10,4,2024-06-08,804786.6550679604,nano,0.8953650584572812,approved
11,5,2024-10-17,711556.49629366,micro,0.7494764195527704,approved
12,6,2024-10-14,996971.8423314205,nano,0.6157684861729845,rejected
13,6,2024-11-08,539515.2570263778,micro,0.7700561132927218,approved
14,7,2024-07-25,497275.12237327726,nano,0.9075345564624319,approved
15,7,2024-12-28,329541.2670385489,nano,0.6409203313736171,approved
17,8,2024-06-01,445306.89647607575,nano,0.7310191014384758,approved
16,8,2024-11-07,650423.304511917,nano,0.8793157375183371,approved
19,9,2024-06-29,492806.0147647603,micro,1.0,approved
18,9,2024-10-24,520550.91557403805,micro,1.0,approved
20,10,2024-06-11,142146.67367488483,reload,1.0,approved
21,11,2024-04-05,332778.15261163865,nano,0.8974001339547103,approved
22,11,2024-09-18,481424.3036389672,nano,1.0,approved
23,11,2024-09-20,625616.4731971773,micro,0.8390932742803356,approved
24,12,2024-04-21,954179.1626642537,nano,0.9321464484101668,approved
26,12,2024-05-31,642952.2046214022,micro,1.0,approved
25,12,2024-10-03,608733.6108269661,nano,1.0,approved
27,13,2024-12-27,219936.3469283501,nano,1.0,approved
29,14,2024-02-28,100000.0,nano,0.9683724869864302,approved
30,14,2024-07-27,462343.2575691865,nano,0.8364012477758835,approved
28,14,2024-07-31,1065365.2955370545,reload,1.0,approved
31,15,2024-04-20,192117.64556664927,nano,0.712530992062237,approved
32,15,2024-07-21,680960.0734805949,micro,1.0,approved
33,16,2024-08-12,257498.4982297687,micro,0.8232822781962646,approved
36,17,2024-04-03,280528.0196391008,micro,0.670135089993136,approved
35,17,2024-11-26,423232.5367235653,nano,0.9287365563633909,approved
34,17,2024-11-30,819822.713799474,nano,0.9195683710569583,approved
37,18,2024-01-09,461376.07610899303,nano,1.0,approved
40,18,2024-03-28,468311.0535334304,micro,1.0,approved
38,18,2024-10-08,948046.8818164254,reload,0.9623399373675183,approved
39,18,2024-12-11,976839.8668752396,nano,1.0,approved
41,19,2024-04-12,610831.6986722611,nano,1.0,approved
42,20,2024-04-23,660949.6537972438,nano,1.0,approved
43,21,2024-04-18,306619.8183188984,nano,0.9014104060816841,approved
44,22,2024-07-03,443065.5254840327,nano,0.8857038076299383,approved
45,22,2024-07-04,898457.4106781132,reload,0.9116789198967473,approved
46,22,2024-08-29,508143.17959730246,micro,0.9712292904749156,approved
47,23,2024-09-21,657472.0202940623,micro,1.0,approved
48,24,2024-02-21,891504.898997992,micro,0.7425046442554712,approved
50,24,2024-03-25,1142801.9839239768,nano,0.7724513058121014,approved
49,24,2024-06-17,549375.0136397068,micro,0.6925050581380781,approved
51,24,2024-12-04,566475.8552127944,nano,0.5882079612135178,approved
52,25,2024-06-04,326218.5431456762,nano,1.0,approved
53,26,2024-06-22,651571.4603492352,nano,1.0,approved
55,27,2024-07-16,558714.3308172633,nano,0.7738296328215318,approved
54,27,2024-08-04,531272.1855119773,nano,0.7189307047001873,approved
56,28,2024-01-08,600218.2974753798,micro,0.861838385104791,approved
58,28,2024-01-16,683391.0987200381,nano,0.7473671446868637,approved
57,28,2024-07-14,562607.8109775406,micro,1.0,approved
59,29,2024-02-04,619421.7461208095,nano,1.0,approved
64,30,2024-03-25,561224.9301402986,nano,0.7370859702823744,approved
62,30,2024-06-17,483577.371267188,nano,0.6315124795161793,approved
63,30,2024-08-08,193090.665368476,nano,1.0,approved
60,30,2024-10-31,513561.6720457891,micro,0.917905123703337,approved
61,30,2024-10-31,517343.4504700894,nano,0.9214976100938338,approved
67,31,2024-03-05,214552.72492667782,micro,1.0,approved
65,31,2024-06-17,945112.2622473422,micro,1.0,approved
66,31,2024-07-14,434985.8923217171,nano,1.0,approved
68,32,2024-09-25,763558.6613336349,micro,1.0,approved
69,33,2024-07-09,500689.092667566,micro,0.908431286256006,approved
71,34,2024-03-02,816628.8389021927,nano,1.0,approved
72,34,2024-03-03,603892.5121330837,micro,1.0,approved
73,34,2024-07-07,100000.0,nano,0.9623718306196745,approved
70,34,2024-12-07,223660.79253023677,micro,0.9503663027888531,approved
74,35,2024-06-28,955916.72259429,nano,0.9170792180461776,approved
75,36,2024-09-26,586401.0530501927,nano,1.0,approved
76,36,2024-11-23,490918.65981543047,nano,1.0,approved
77,37,2024-02-16,378210.8266142863,micro,0.8115172691906843,approved
78,37,2024-09-23,775204.1814387573,reload,0.9365686801183313,approved
79,38,2024-04-08,512817.4616009163,micro,0.6343264279742553,approved
80,38,2024-11-06,449683.0260782209,nano,0.9510368384356873,approved
81,39,2024-12-19,251465.92749364403,reload,1.0,approved
82,40,2024-06-16,100000.0,nano,0.9430078095927897,approved
83,41,2024-08-30,398514.14404536376,nano,0.9555909865930347,approved
84,42,2024-12-30,410761.1448634423,micro,0.8348840140663601,approved
86,43,2024-01-14,250363.24578213965,micro,0.6793319414209213,approved
85,43,2024-11-27,545095.7859687973,micro,1.0,approved
87,44,2024-09-01,494961.55601846415,micro,0.9578842799261327,approved
88,45,2024-10-19,257636.2082982189,micro,1.0,approved
89,46,2024-01-20,533732.3425042143,reload,0.8661809064337612,approved
90,46,2024-03-11,277691.1356785615,micro,0.8045672737659588,approved
91,47,2024-03-20,144763.17009413405,nano,0.9512777437560196,approved
93,48,2024-06-11,896347.9864961496,micro,0.8767978450051979,approved
92,48,2024-11-18,673155.1827878372,micro,0.899829116494394,approved
96,49,2024-02-13,306012.12770027935,micro,1.0,approved
95,49,2024-02-17,534772.6696753108,nano,1.0,approved
94,49,2024-02-22,484643.0033412799,nano,1.0,approved
97,50,2024-11-02,100000.0,nano,0.850234706703011,approved
98,51,2024-03-20,759693.3632237124,micro,1.0,approved
99,52,2024-03-30,830070.767001017,micro,0.7635640378628717,approved
101,52,2024-07-22,709302.1576498765,nano,0.9263372926253286,approved
100,52,2024-10-14,1213526.3154663853,micro,0.9683167331780236,approved
104,53,2024-01-21,808368.1091671172,nano,0.6269488384050759,approved
103,53,2024-10-26,502919.14441190695,nano,0.9697545879336489,approved
102,53,2024-11-19,727602.8054383462,micro,1.0,approved
105,54,2024-03-28,237237.20652919484,reload,0.33415884859761114,rejected
106,54,2024-08-07,1217966.8236012696,nano,0.844070814993406,approved
107,54,2024-10-08,222623.48229080834,micro,0.7342396698692135,approved
108,55,2024-09-07,721352.9827046777,nano,1.0,approved
111,56,2024-01-16,1004042.5759568952,nano,0.7245726026572331,approved
109,56,2024-03-14,946809.1546194772,nano,0.7501365762695997,approved
110,56,2024-11-02,502229.1425663731,micro,0.9970950107144655,approved
112,57,2024-06-07,100000.0,nano,1.0,approved
114,58,2024-03-29,513211.6243605067,nano,0.8711430161809576,approved
113,58,2024-04-08,369998.6500065223,micro,0.9321706320543082,approved
116,59,2024-11-04,552707.7850377024,micro,0.8555972682871579,approved
115,59,2024-12-05,713614.6884886457,micro,0.9461224511586434,approved
118,60,2024-07-12,587266.8424388703,nano,0.7868294594228875,approved
117,60,2024-11-05,352281.9994931003,reload,0.8910576937895337,approved
119,61,2024-08-09,703289.5528215577,micro,0.9564118057577705,approved
120,62,2024-12-04,699118.9115248193,micro,0.5774939148069198,rejected
121,63,2024-08-25,100000.0,micro,1.0,approved
123,63,2024-10-22,253082.2817587848,reload,1.0,approved
122,63,2024-11-25,194414.87742336822,micro,1.0,approved
124,64,2024-06-09,421822.39177055913,nano,0.8032734721714502,approved
125,64,2024-07-04,397653.72666166595,nano,1.0,approved
126,64,2024-10-10,100000.0,micro,1.0,approved
127,65,2024-03-22,394580.61905846593,micro,1.0,approved
128,66,2024-07-21,146857.93206458632,nano,1.0,approved
130,67,2024-03-26,620962.8017536751,nano,0.8750999024118284,approved
132,67,2024-05-26,100000.0,micro,1.0,approved
131,67,2024-10-04,450824.85927997256,nano,1.0,approved
133,67,2024-11-25,100000.0,nano,0.9214771961017288,approved
129,67,2024-11-27,916529.1520892909,nano,0.901951929295659,approved
134,68,2024-04-19,698624.7254531442,micro,1.0,approved
137,69,2024-02-07,298546.1533553281,nano,0.9897486260577633,approved
136,69,2024-02-19,476865.3404351274,nano,1.0,approved
135,69,2024-07-13,728295.5195429702,nano,0.6420590102112618,approved
138,70,2024-05-13,509093.56770428346,micro,0.598072822541548,approved
139,70,2024-07-02,504456.259109963,nano,0.8396290544642444,approved
141,71,2024-01-10,181995.7667375143,nano,1.0,approved
140,71,2024-07-16,100000.0,micro,1.0,approved
142,72,2024-04-19,650660.2251495286,nano,0.9430106030148356,approved
143,72,2024-11-10,866665.6919753236,micro,0.8898513547355278,approved
145,73,2024-04-26,632253.7458014747,nano,0.9311855675291852,approved
144,73,2024-06-22,751434.8701287722,micro,1.0,approved
146,74,2024-12-14,368503.80032706587,nano,0.5868013699263106,approved
147,75,2024-10-15,411556.41396580986,nano,1.0,approved
148,76,2024-04-24,283811.1258467925,nano,0.9144511118101231,approved
149,77,2024-02-25,646162.7999891968,nano,1.0,approved
150,78,2024-01-01,761478.752594599,micro,0.7992243625843158,approved
151,78,2024-07-12,872046.2081132593,nano,0.5097565431112241,rejected
152,79,2024-04-05,645128.0735306541,nano,1.0,approved
154,80,2024-01-18,758549.7310886587,nano,1.0,approved
153,80,2024-08-08,517190.13608531427,nano,0.9765763307524264,approved
155,81,2024-02-02,262271.6310137818,nano,0.8052570541633841,approved
157,82,2024-03-31,310340.9073852233,reload,1.0,approved
156,82,2024-07-26,471178.70967100357,nano,0.800885178546503,approved
159,83,2024-07-07,712804.3889516026,nano,1.0,approved
158,83,2024-12-01,687707.4322499941,nano,1.0,approved
160,84,2024-05-31,370080.64099311293,micro,0.9188122380967356,approved
161,85,2024-02-15,798029.7242215667,nano,1.0,approved
162,86,2024-11-20,487918.0588695897,nano,1.0,approved
163,87,2024-07-20,798034.6599291823,micro,0.9033765669010643,approved
165,88,2024-05-05,140252.5827388934,micro,0.8434230305168098,approved
166,88,2024-08-30,851735.395304993,nano,1.0,approved
164,88,2024-12-28,400404.8964177845,nano,0.6742783953026069,approved
168,89,2024-09-04,242682.9701188075,nano,0.9201838029794858,approved
167,89,2024-10-01,875567.2177352912,micro,1.0,approved
169,90,2024-01-13,637702.5315433047,nano,0.8260660898257528,approved
171,91,2024-09-05,180227.00978323322,micro,0.9161117911606445,approved
170,91,2024-10-17,539047.8936798357,nano,1.0,approved
174,92,2024-02-08,505363.9593251529,micro,1.0,approved
172,92,2024-03-13,100000.0,micro,0.9212158073057024,approved
173,92,2024-06-11,491977.8326334391,micro,0.7488919385567857,approved
175,93,2024-03-17,562628.5590801811,micro,1.0,approved
176,94,2024-12-23,1322514.2497174025,nano,1.0,approved
177,95,2024-05-03,656573.4392088645,nano,0.8639235094208727,approved
178,95,2024-05-17,693170.9349399502,reload,0.5712806862352666,rejected
179,95,2024-09-22,226354.67669106007,micro,0.8530640395622765,approved
180,96,2024-03-29,279393.9677433729,nano,0.7111576078085975,approved
181,97,2024-01-04,745178.5531814843,nano,0.9443051270344374,approved
182,98,2024-06-24,561028.0605850995,micro,0.9017096741162792,approved
184,99,2024-02-20,100000.0,nano,1.0,approved
186,99,2024-03-01,291369.11756306025,nano,1.0,approved
183,99,2024-05-29,771610.2886450138,nano,1.0,approved
185,99,2024-07-09,470018.7247286317,micro,1.0,approved
187,99,2024-11-05,557796.370313403,micro,1.0,approved
188,100,2024-05-15,294448.13867632055,micro,1.0,approved
189,101,2024-05-20,237992.64182902162,nano,1.0,approved
190,102,2024-04-06,857639.6680043386,micro,0.9591033421264067,approved
191,103,2024-09-19,100000.0,reload,0.9900733538053158,approved
194,104,2024-02-18,910603.686122824,micro,1.0,approved
192,104,2024-03-31,456325.2376168971,nano,1.0,approved
193,104,2024-05-11,500259.35683100956,nano,1.0,approved
195,105,2024-11-15,790973.4874051182,nano,0.9334012109566019,approved
196,106,2024-01-11,381822.3090740463,reload,1.0,approved
197,106,2024-02-22,100000.0,nano,0.9750904473954114,approved
199,107,2024-01-20,588316.0981622254,reload,1.0,approved
198,107,2024-10-25,828942.3010954417,micro,1.0,approved
201,108,2024-05-25,562387.4083803388,micro,0.9256304301589849,approved
200,108,2024-10-01,212549.0267836335,nano,0.929674981829997,approved
202,109,2024-06-16,189603.09184468203,micro,1.0,approved
203,109,2024-08-28,560953.1773457761,nano,1.0,approved
204,110,2024-08-06,657704.4967439931,nano,1.0,approved
205,111,2024-05-11,1071829.0281729111,nano,0.9428643342528568,approved
207,111,2024-09-21,829174.7974918671,nano,0.7367507566230811,approved
209,111,2024-10-28,790756.325073369,micro,0.6894169340923295,approved
208,111,2024-11-27,519618.2480638569,nano,0.8407297101870324,approved
206,111,2024-12-11,711416.5552794073,nano,0.8606665842946075,approved
210,112,2024-02-03,278226.18885304325,micro,1.0,approved
212,113,2024-02-17,649076.7241156033,nano,0.9822619523808753,approved
211,113,2024-03-03,495645.25743086805,nano,0.8843299766381434,approved
